BookID,Title,Authors,Average_rating,Language,Num_pages,Ratings_count,text_reviews_count,Publication_date,Publisher,Availability
38,The Changeling,Kate Horsley,3.55,eng,339,301,43,04-12-2005,Shambhala,Available
39,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,12,8/28/1990,Ivy Books,Available
40,The Known World,Edward P. Jones,3.83,eng,388,29686,2626,8/29/2006,Amistad,Available
41,The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14,55,12,6/15/2004,HarperAudio,Available
42,The Known World,Edward P. Jones,3.83,eng,576,22,3,6/15/2004,Harper,Available
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,82,5/15/2006,FT Press,Available
44,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,4,12/14/2005,Archaia,Available
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,562,37,06-01-1982,Farrar  Straus and Giroux,Available
46,Uncommon Carriers,John McPhee,3.95,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,Available
47,Heirs of General Practice,John McPhee,4.17,eng,128,268,22,04-01-1986,Farrar  Straus and Giroux,Available
48,The Control of Nature,John McPhee,4.24,en-US,288,3498,305,09-01-1990,Farrar  Straus and Giroux,Available
49,Annals of the Former World,John McPhee,4.34,eng,720,3115,228,01-06-1999,Farrar  Straus and Giroux,Available
50,Coming Into the Country,John McPhee,4.22,eng,448,5704,261,04-01-1991,Farrar  Straus and Giroux,Available
51,La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,52,04-01-1994,Farrar  Straus and Giroux,Available
52,Giving Good Weight,John McPhee,4.23,eng,288,542,36,04-01-1994,Farrar  Straus and Giroux,Available
53,Rising from the Plains,John McPhee,4.23,eng,208,1341,98,11-01-1987,Farrar  Straus and Giroux,Available
54,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,70,03-01-2002,Dramatists Play Service,Available
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,64,07-02-1991,Vintage,Available
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,1,3/29/2006,Routledge,Available
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,62,4,3/14/2006,North Light Books,Available
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,53,09-01-2003,Chosen Books,Available
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,Available
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,153317,2257,11/15/2002,Kingfisher,Available
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,5,11/15/2004,ASCD,Available
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,34,6,4/28/2003,Sovereign World,Available
63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,659,10/16/2003,Workman Publishing Company,Available
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,8,05-10-2004,One Hour Entertainment,Available
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,4,8/19/2004,North Light Books,Available
66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,166,6/15/1987,Ace Books,Available
67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,568,07-01-1987,Ace Books,Available
68,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,2359,7/15/1987,Ace Books,Available
69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,784,21,07-01-2004,Tor Books,Available
70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,20,4/16/1984,Putnam,Available
71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,83,8/29/2006,Tor Science Fiction,Available
72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,644,8/15/1987,Ace Books,Available
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,102,06-12-2002,Houghton Mifflin Harcourt,Available
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,69167,4551,9/29/1996,Ballantine Books,Available
75,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,Available
76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,16,1,11-01-2004,Thomas Nelson,Available
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,16,5/19/2006,Wiley,Available
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,10,0,02-07-2000,Heinemann Drama,Available
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,05-03-2005,William Morrow Paperbacks,Available
80,eBay for Dummies,Marsha Collier,3.5,eng,386,111,9,10/30/2006,Wiley,Available
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,24,0,1/24/2006,McGraw-Hill,Available
82,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,4,9/17/2004,Wiley,Available
83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,0,06-06-2006,Wiley,Available
84,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,22,1,5/31/2004,Wiley,Available
85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,17,3,4/25/2005,Wiley,Available
86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,4,7/29/2006,O'Reilly Media,Unavailable
87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5,05-03-2005,Citadel,Available
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,2,05-03-2005,Citadel,Unavailable
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1,01-01-2007,O'Reilly Media,Available
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,16643,1851,5/31/2004,Penguin Classics,Available
91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960,109420,5696,11-05-2002,Signet,Available
92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837,2904,309,1/30/2003,Penguin Books,Available
93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,3,11/26/1965,Cliffs Notes,Available
94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803,9564,726,07-01-2003,Barnes & Noble Classics,Available
95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,752,474,72,11/23/2004,Dover Publications,Available
96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803,303,48,8/26/2004,Barnes & Noble,Unavailable
97,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,65,1/28/2006,Mira Books,Available
98,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,33,11/26/1987,Cambridge University Press,Available
99,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,279,07-03-1990,Penguin Books,Available
100,The Untouchable,John Banville,3.95,eng,367,2163,216,6/30/1998,Vintage,Available
